Country Name,Date,Total Population,Mobile subscribers,Health:mortality under-5,Internet users per 100 people,GDP per capita,Mobile subscribers per capita,log(GDP per capita),log(Health:mortality under-5),Region
Indonesia,7/1/2000,213395411,3669327,54,1,773,0.017195,6.650279,3.988984,Asia
Sri Lanka,7/1/2000,19102000,430202,23,1,855,0.022521,6.751101,3.135494,Asia
China,7/1/2000,1262645000,85260000,33,2,949,0.067525,6.855409,3.496508,Asia
Philippines,7/1/2000,77309965,6454359,40,2,1048,0.083487,6.954639,3.688879,Asia
Kazakhstan,7/1/2000,14883626,197300,44,1,1229,0.013256,7.113956,3.784190,Asia
Thailand,7/1/2000,63155029,3056000,18,4,1943,0.048389,7.571988,2.890372,Asia
Maldives,7/1/2000,273236,7638,47,2,2285,0.027954,7.734121,3.850148,Asia
Malaysia,7/1/2000,23414909,5121748,11,21,4006,0.218739,8.295549,2.397895,Asia
"Korea, Rep.",7/1/2000,47008000,26816398,6,44,11347,0.570465,9.336709,1.791759,Asia
Brunei Darussalam,7/1/2000,327036,95000,9,9,18350,0.290488,9.817385,2.197225,Asia
Belgium,7/1/2000,10251250,5629000,6,29,22697,0.549104,10.029988,1.791759,Europe
Germany,7/1/2000,82211508,48202000,5,30,22946,0.586317,10.040899,1.609438,Europe
Finland,7/1/2000,5176209,3728625,4,37,23530,0.720339,10.066031,1.386294,Europe
Austria,7/1/2000,8011566,6117000,6,34,23974,0.763521,10.084725,1.791759,Europe
Netherlands,7/1/2000,15925513,10755000,6,44,24180,0.675331,10.093281,1.791759,Europe
United Kingdom,7/1/2000,58892514,43452000,7,27,25083,0.737819,10.129946,1.945910,Europe
Ireland,7/1/2000,3805174,2461000,7,18,25629,0.646751,10.151480,1.945910,Europe
Sweden,7/1/2000,8872109,6372300,4,46,27869,0.718240,10.235270,1.386294,Europe
San Marino,7/1/2000,26967,14503,5,49,28698,0.537805,10.264583,1.609438,Europe
Denmark,7/1/2000,5339616,3363552,6,39,29980,0.629924,10.308286,1.791759,Europe
Iceland,7/1/2000,281205,214896,4,44,30929,0.764197,10.339450,1.386294,Europe
Switzerland,7/1/2000,7184250,4638519,6,47,34787,0.645651,10.456999,1.791759,Europe
Norway,7/1/2000,4490967,3224000,5,27,37473,0.717885,10.531376,1.609438,Europe
Luxembourg,7/1/2000,436300,303274,5,23,46458,0.695104,10.746304,1.609438,Europe
Liechtenstein,7/1/2000,32853,10000,6,37,75606,0.304386,11.233291,1.791759,Europe
Moldova,7/1/2000,3639588,139000,26,1,354,0.038191,5.869297,3.258097,Europe
Ukraine,7/1/2000,49175848,818524,18,1,636,0.016645,6.455199,2.890372,Europe
Albania,7/1/2000,3071856,29791,29,0,1200,0.009698,7.090077,3.367296,Europe
Belarus,7/1/2000,10005000,49353,14,2,1273,0.004933,7.149132,2.639057,Europe
Bosnia and Herzegovina,7/1/2000,3693698,93386,10,1,1491,0.025283,7.307202,2.302585,Europe
Bulgaria,7/1/2000,8170172,738000,21,5,1579,0.090329,7.364547,3.044522,Europe
Romania,7/1/2000,22442971,2499000,27,4,1651,0.111349,7.409136,3.295837,Europe
Russian Federation,7/1/2000,146303000,3263200,23,2,1775,0.022304,7.481556,3.135494,Europe
"Macedonia, FYR",7/1/2000,2009091,115748,16,2,1785,0.057612,7.487174,2.772589,Europe
Lithuania,7/1/2000,3499536,524000,12,6,3267,0.149734,8.091627,2.484907,Europe
Latvia,7/1/2000,2372985,401272,17,6,3301,0.169100,8.101981,2.833213,Europe
Estonia,7/1/2000,1369515,557000,13,29,4144,0.406713,8.329417,2.564949,Europe
Turkey,7/1/2000,63627862,16133405,43,4,4189,0.253559,8.340217,3.761200,Europe
Poland,7/1/2000,38453757,6747000,10,7,4454,0.175457,8.401558,2.302585,Europe
Hungary,7/1/2000,10210971,3076279,11,7,4543,0.301272,8.421343,2.397895,Europe
Croatia,7/1/2000,4426000,1033000,8,7,4862,0.233394,8.489205,2.079442,Europe
Slovak Republic,7/1/2000,5388720,1243736,12,9,5330,0.230804,8.581107,2.484907,Europe
Czech Republic,7/1/2000,10272322,4346009,7,10,5725,0.423080,8.652598,1.945910,Europe
Slovenia,7/1/2000,1988925,1215601,5,15,10045,0.611185,9.214830,1.609438,Europe
Malta,7/1/2000,381363,114444,8,14,10377,0.300092,9.247347,2.079442,Europe
Greece,7/1/2000,10917482,5932403,8,9,11396,0.543386,9.341018,2.079442,Europe
Portugal,7/1/2000,10225836,6664951,7,17,11471,0.651776,9.347577,1.945910,Europe
Cyprus,7/1/2000,943294,218324,7,15,13422,0.231449,9.504650,1.945910,Europe
Spain,7/1/2000,40263216,24265059,7,14,14414,0.602661,9.575955,1.945910,Europe
Andorra,7/1/2000,64634,23543,5,11,17539,0.364251,9.772182,1.609438,Europe
Italy,7/1/2000,56942108,42246000,6,23,19388,0.741911,9.872410,1.791759,Europe
France,7/1/2000,60910922,29052360,5,14,21775,0.476965,9.988518,1.609438,Europe
Qatar,7/1/2000,590957,120856,13,5,30053,0.204509,10.310718,2.564949,Middle East
United Arab Emirates,7/1/2000,3033491,1428115,12,24,34395,0.470783,10.445666,2.484907,Middle East
"Yemen, Rep.",7/1/2000,17723186,32042,100,0,544,0.001808,6.298949,4.605170,Middle East
Syrian Arab Republic,7/1/2000,15988534,30000,23,0,1209,0.001876,7.097549,3.135494,Middle East
"Iran, Islamic Rep.",7/1/2000,65342319,962595,44,1,1550,0.014732,7.346010,3.784190,Middle East
Jordan,7/1/2000,4797500,388949,29,3,1764,0.081073,7.475339,3.367296,Middle East
Lebanon,7/1/2000,3742329,743000,29,8,4612,0.198539,8.436417,3.367296,Middle East
Oman,7/1/2000,2264163,162000,22,4,8775,0.071550,9.079662,3.091042,Middle East
Saudi Arabia,7/1/2000,20045276,1375881,26,2,9401,0.068639,9.148571,3.258097,Middle East
Bahrain,7/1/2000,638193,205727,12,6,12489,0.322359,9.432604,2.484907,Middle East
Kuwait,7/1/2000,1940786,476000,13,7,19434,0.245261,9.874779,2.564949,Middle East
Israel,7/1/2000,6289000,4400000,7,20,19859,0.699634,9.896413,1.945910,Middle East
Papua New Guinea,7/1/2000,5378824,8560,74,1,655,0.001591,6.484635,4.304065,Oceania
Kiribati,7/1/2000,84010,300,65,2,812,0.003571,6.699500,4.174387,Oceania
Solomon Islands,7/1/2000,408732,1151,35,0,1065,0.002816,6.970730,3.555348,Oceania
Samoa,7/1/2000,176549,2500,23,1,1391,0.014160,7.237778,3.135494,Oceania
Vanuatu,7/1/2000,185074,365,23,2,1470,0.001972,7.293018,3.135494,Oceania
Tonga,7/1/2000,97935,180,20,2,1926,0.001838,7.563201,2.995732,Oceania
Fiji,7/1/2000,811718,55057,23,1,2075,0.067828,7.637716,3.135494,Oceania
Marshall Islands,7/1/2000,52145,447,37,2,2127,0.008572,7.662468,3.610918,Oceania
"Micronesia, Fed. Sts.",7/1/2000,107103,0,49,4,2181,0.0,7.687539,3.891820,Oceania
New Zealand,7/1/2000,3857800,1542000,7,47,13375,0.399710,9.501143,1.945910,Oceania
Australia,7/1/2000,19153000,8562000,6,47,21766,0.447032,9.988104,1.791759,Oceania
Canada,7/1/2000,30769700,8727000,6,51,23560,0.283623,10.067306,1.791759,The Americas
United States,7/1/2000,282162411,109478031,9,43,35082,0.387997,10.465443,2.197225,The Americas
Haiti,7/1/2000,8645371,55000,109,0,424,0.006362,6.049733,4.691348,The Americas
Nicaragua,7/1/2000,5073704,90294,43,1,776,0.017796,6.654153,3.761200,The Americas
Guyana,7/1/2000,733101,39830,47,7,972,0.054331,6.879356,3.850148,The Americas
Bolivia,7/1/2000,8307248,582620,82,1,1011,0.070134,6.918695,4.406719,The Americas
Honduras,7/1/2000,6218151,155271,37,1,1143,0.024971,7.041412,3.610918,The Americas
